nomcentre,adressa,poblacio,tf,correu,titularitat,comarca,lat,lon
Servei d'Informació i Orientació a les Dones (SIOD) d’Arbúcies,"Carrer Major, 2, 17401, Arbúcies",Arbúcies,972860001,siod@ajarbucies.cat,Ajuntament d'Arbúcies,Selva,41.8161,2.51385
Servei d'informació i atenció a les dones (SIAD) del Masnou,"Plaça de la Llibertat (Espai El Casinet), 8320, el Masnou",el Masnou,935571870,igualtat@elmasnou.cat,Ajuntament d'El Masnou,Maresme,41.47913,2.3182
Servei d'informació i atenció a les dones (SIAD) del Prat de Llobregat,"Plaça de l'Agricultura, 4, 8820, el Prat de Llobregat",el Prat de Llobregat,933790050,siad@elprat.cat,Ajuntament d'El Prat de Llobregat,Baix Llobregat,41.32478,2.0932
Servei d'informació i atenció a les dones (SIAD) d'Esparreguera,"Carrer dels Arbres, 21, despatx 1r pis, 8292, Esparreguera",Esparreguera,677500229,dona@esparreguera.cat,Ajuntament d'Esparreguera,Baix Llobregat,41.5395,1.86826
Servei d'informació i atenció a les dones (SIAD) d'Esplugues de Llobregat,"Carrer Sant Francesc Xavier, 1, 8950, Esplugues de Llobregat",Esplugues de Llobregat,933713350,apastor@esplugues.cat,Ajuntament d'Esplugues de Llobregat,Baix Llobregat,41.3746,2.08533
Servei d'informació i atenció a les dones (SIAD) d'Igualada,"Avinguda de la Pietat, 42-44 (Centre Cívic Fàtima), 8700, Igualada",Igualada,938031950,ead.siad@dae.cat,Ajuntament d'Igualada,Anoia,41.58597,1.60502
Servei d'informació i atenció a les dones (SIAD) d'Olesa de Montserrat,"Parc Municipal, s/n (Edifici Cal Mané), 8640, Olesa de Montserrat",Olesa de Montserrat,937780050,aj147.cird@olesam.cat,Ajuntament d'Olesa de Montserrat,Baix Llobregat,41.54517,1.89134
Servei d'informació i atenció a les dones (SIAD) de Badalona,"Carrer Baldomer Solà, 13-15, 8912, Badalona",Badalona,934832968,siad@badalona.cat,Ajuntament de Badalona,Barcelonès,41.44709,2.23967
Servei d'informació i atenció a les dones (SIAD) de Badia del Vallès,"Carrer La Manxa, s/n (Casal dels Infants), 8214, Badia del Vallès",Badia del Vallès,937294651,cirdbadia@gmail.com,Ajuntament de Badia del Vallès,Vallès Occidental,41.5072,2.11527
Servei d'informació i atenció a les dones (SIAD) de Barberà del Vallès,"Plaça de la vila, 1, baixos dreta, 8210, Barberà del Vallès",Barberà del Vallès,937297171,carozm@bdv.cat,Ajuntament de Barberà del Vallès,Vallès Occidental,41.55746,2.1562
Servei d'informació i atenció a les dones (SIAD) de Barcelona - Ciutat Vella,"Carrer Nou de la Rambla, 45, 4t, 8001, Barcelona",Barcelona,932563221,piad_ciutatvella@bcn.cat,Ajuntament de Barcelona,Barcelonès,41.37749,2.17268
Servei d'informació i atenció a les dones (SIAD) de Barcelona - les Corts,"Carrer Dolors Masferrer, 33-35, 8028, Barcelona",Barcelona,932916491,piad_lescorts@bcn.cat,Ajuntament de Barcelona,Barcelonès,41.38483,2.12842
